辈	輩	<span class="pinYinWrapper"><span class="t4">bèi</span></span>	<span class="zhuyin">ㄅㄟˋ</span>	[sound:cmn-辈.mp3]	<div class="char"><span class="char-tone4">辈</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bèi</span></span></div><div class='meaning'><ul><li>lifetime</li><li> generation</li><li> group of people</li><li> class</li><li> classifier for generations</li><li> (literary) classifier for people</li></ul></div>
本人	本人	<span class="pinYinWrapper"><span class="t3">běn</span> <span class="t2">rén</span></span>	<span class="zhuyin">ㄅㄣˇ ㄖㄣˊ</span>	[sound:cmn-本人.mp3]	<div class="char"><span class="char-tone3">本</span><span class="char-tone2">人</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">běn</span> <span class="t2">rén</span></span></div><div class='meaning'><ul><li>the person himself</li><li> I (humble form used in speeches)</li><li> oneself</li><li> myself</li><li> in person</li><li> personal</li></ul></div>
鼻子	鼻子	<span class="pinYinWrapper"><span class="t2">bí</span> <span class="t0">zi</span></span>	<span class="zhuyin">ㄅㄧˊ ㄗ˙</span>	[sound:cmn-鼻子.mp3]	<div class="char"><span class="char-tone2">鼻</span><span class="char-tone0">子</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bí</span> <span class="t0">zi</span></span></div><div class='meaning'><ul><li>nose</li><li> CL:個|个[ge4],隻|只[zhi1]</li></ul></div>
比方	比方	<span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t0">fang</span></span>	<span class="zhuyin">ㄅㄧˇ ㄈㄤ˙</span>	[sound:cmn-比方.mp3]	<div class="char"><span class="char-tone3">比</span><span class="char-tone0">方</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t0">fang</span></span></div><div class='meaning'><ul><li>analogy</li><li> instance</li><li> for instance</li></ul></div>
比重	比重	<span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t4">zhòng</span></span>	<span class="zhuyin">ㄅㄧˇ ㄓㄨㄥˋ</span>	[sound:cmn-比重.mp3]	<div class="char"><span class="char-tone3">比</span><span class="char-tone4">重</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t4">zhòng</span></span></div><div class='meaning'><ul><li>proportion</li><li> specific gravity</li></ul></div>
彼此	彼此	<span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t3">cǐ</span></span>	<span class="zhuyin">ㄅㄧˇ ㄘˇ</span>	[sound:cmn-彼此.mp3]	<div class="char"><span class="char-tone3">彼</span><span class="char-tone3">此</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǐ</span> <span class="t3">cǐ</span></span></div><div class='meaning'><ul><li>each other</li><li> one another</li></ul></div>
必	必	<span class="pinYinWrapper"><span class="t4">bì</span></span>	<span class="zhuyin">ㄅㄧˋ</span>	[sound:cmn-必.mp3]	<div class="char"><span class="char-tone4">必</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bì</span></span></div><div class='meaning'><ul><li>certainly</li><li> must</li><li> will</li><li> necessarily</li></ul></div>
必需	必需	<span class="pinYinWrapper"><span class="t4">bì</span> <span class="t1">xū</span></span>	<span class="zhuyin">ㄅㄧˋ ㄒㄩ</span>	[sound:cmn-必需.mp3]	<div class="char"><span class="char-tone4">必</span><span class="char-tone1">需</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bì</span> <span class="t1">xū</span></span></div><div class='meaning'><ul><li>to need</li><li> to require</li><li> essential</li><li> indispensable</li></ul></div>
毕竟	畢竟	<span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">jìng</span></span>	<span class="zhuyin">ㄅㄧˋ ㄐㄧㄥˋ</span>	[sound:cmn-毕竟.mp3]	<div class="char"><span class="char-tone4">毕</span><span class="char-tone4">竟</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">jìng</span></span></div><div class='meaning'><ul><li>after all</li><li> all in all</li><li> when all is said and done</li><li> in the final analysis</li></ul></div>
闭幕	閉幕	<span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">mù</span></span>	<span class="zhuyin">ㄅㄧˋ ㄇㄨˋ</span>	[sound:cmn-闭幕.mp3]	<div class="char"><span class="char-tone4">闭</span><span class="char-tone4">幕</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">mù</span></span></div><div class='meaning'><ul><li>the curtain falls</li><li> lower the curtain</li><li> to come to an end (of a meeting)</li></ul></div>
